n,size,test_error,test_loss,train_error,train_loss
4000.0,64.0,86.92614688797283,13.46733294050893,0.003968883949838187,0.1820439285190237
6000.0,64.0,86.22562104445072,14.251717714523599,0.0060027212336279945,0.1974454754446509
8000.0,64.0,85.87526923988997,14.7391322788511,0.017002720435272067,0.22724546810039403
10000.0,64.0,85.28035544349869,14.879836829552001,0.025350582459807924,0.2572530166065735
12000.0,64.0,83.97303109882358,14.695169062550319,0.11706341885559368,0.3001362214017892
14000.0,64.0,83.09003550563895,14.651072492206515,0.3612085640734364,0.36251266720875935
16000.0,64.0,82.19562928254963,14.528384682423983,1.2434673823119908,0.4614888146835474
18000.0,64.0,81.23322664542698,14.289740393511682,2.571589374155792,0.5747379631124018
20000.0,64.0,79.53393240947382,13.504648110319732,5.014061515087846,0.7298532596507598
22000.0,64.0,77.93794806776845,12.609864109081505,8.597632983713424,0.9490052051414162
24000.0,64.0,76.96639428747399,11.86501539748141,12.4122734329287,1.1758818513605789
26000.0,64.0,74.97948172526958,10.764049079685682,15.870910905657368,1.3892870062198572
28000.0,64.0,73.53592917790183,9.857595728112463,19.220943324865857,1.5991300073675911
30000.0,64.0,72.54826375839725,9.366853796237953,21.65440927498544,1.7612059835125298
32000.0,64.0,70.81075285219629,8.851064801149244,22.57858130297518,1.8369812796365466
34000.0,64.0,69.61228152569893,8.245011201546887,25.617195418124794,2.046262794579404
36000.0,64.0,68.7450398132835,7.896973413255906,27.250528818339603,2.1496194829251443
38000.0,64.0,67.95707236775002,7.63199650433426,28.923096685792586,2.2579470739884884
40000.0,64.0,66.28143924874198,7.145070641914397,30.132639119377245,2.3583081633641663
42000.0,64.0,65.89027881482045,6.95750073063502,30.946534438550557,2.4184801726365337
44000.0,64.0,64.73249646320241,6.712948811079917,31.748966174791292,2.4722712183533764
46000.0,64.0,63.83951655490834,6.543633630400146,32.43984561492718,2.5247242782572235
48000.0,64.0,62.98322137441125,6.363080423639631,32.77287535668391,2.553438649939024
50000.0,64.0,63.01984886285702,6.349693860980065,33.195462948823334,2.5900609040636278
52000.0,64.0,61.93692078642238,6.0896514184197486,33.47315134864121,2.599088121090073
54000.0,64.0,61.705862139874746,6.06033599650899,34.00324753708382,2.6459439041194597
56000.0,64.0,60.75524344825662,5.835031177909064,34.506981955179654,2.6644458047433437
58000.0,64.0,60.47300230435148,5.79537564740359,34.893093661305585,2.6985302419859676
60000.0,64.0,59.85620597264793,5.660043240703338,34.95434805118866,2.7092071677485436
62000.0,64.0,59.541601787021925,5.60938100491307,35.26026171876791,2.7362484970515397
64000.0,64.0,59.24341866501623,5.570220754494209,35.24441609139714,2.7212506206981426
66000.0,64.0,58.587350524773505,5.4653854480621185,35.62464075049719,2.7593310076624453
68000.0,64.0,57.61764369149099,5.289330633158946,35.744465786300196,2.7640449172962405
70000.0,64.0,58.00601368938162,5.343586796691579,36.073109633739094,2.7839076948888573
72000.0,64.0,57.45167602331981,5.23278704591987,36.35856080802436,2.8150310572576287
74000.0,64.0,56.83755947691893,5.163555951765282,36.73148854219032,2.8433373582380708
76000.0,64.0,56.17992815318936,5.077123241012721,36.17530348274638,2.7910354273874
78000.0,64.0,55.99179452176156,5.037384601841431,36.73340898885408,2.8340003980561237
80000.0,64.0,55.93659464247936,5.028911528724277,36.9635413072686,2.8523417177924673
82000.0,64.0,55.69663630494239,4.964459998224966,37.12600050898094,2.863200646869216
84000.0,64.0,55.40287362893644,4.928631185305568,37.36358420252421,2.887055238991297
86000.0,64.0,54.93191971771819,4.856792349960459,37.17396963369155,2.8733843728888004
88000.0,64.0,54.600316973364606,4.803467925534284,37.49899804399762,2.891841277368636
90000.0,64.0,54.39055907116192,4.788248427052125,37.521428886724856,2.8979462017592437
92000.0,64.0,54.175494208292896,4.755725868801353,37.55895701699742,2.8980447222410763
94000.0,64.0,53.5008592633802,4.663140803767567,37.52372687855849,2.8940446595920664
96000.0,64.0,52.948148100047256,4.581017490398837,37.59371283582897,2.8978433961204235
98000.0,64.0,52.4403717649597,4.518167093788377,37.45505405096825,2.8862677154198257
100000.0,64.0,53.05288039817974,4.573333779039651,37.92387489952017,2.9229716842667695
102000.0,64.0,52.51352271587852,4.517827915308539,37.816158375673254,2.9187861743678343
104000.0,64.0,52.18662040025662,4.486751820921956,37.78190629733528,2.9123075145666646
106000.0,64.0,52.01557125546896,4.45805936596868,37.813973034334,2.914767091716888
108000.0,64.0,51.807631985122654,4.455382827989732,37.7953675683208,2.913697773884563
110000.0,64.0,51.250689537761595,4.3585419256732125,37.84489132151095,2.9158051806824075
112000.0,64.0,51.0587867696314,4.339321425327848,37.80328117202215,2.9087272397950596
114000.0,64.0,50.92323066055598,4.325113093125113,37.96321195670176,2.926385367929816
116000.0,64.0,50.89541143757176,4.320730026446791,38.15554696548894,2.943675739846039
118000.0,64.0,50.51843784267668,4.2805881307069615,38.10193969153636,2.9391207094093277
120000.0,64.0,50.72730781708533,4.285419708512404,38.05675173613169,2.9309362356253006
